الدكتور المشرف,العام الدراسي,اسم المشروع,وصف المشروع
حازم عيسى ,2019_2020,تحكم بالسيارة عن طريق حركة اليد,تحكم بسيارة (روبوت) لاسلكيا عن طريق حساس Gyroscope MPU6050 لتحديد الاتجاه مثبت على قفاز باليد  حيث ترسل الاشارات من الحساس الى متحكم UNO موصول به ومنه الى حاسوب عن طريق شريحة Bluetooth  يتم ارسال الاشارات الى متحكم اخر MEGA  موجود في سيارة ليقوم بتفسير الاشارات المستقبلة واصدار الاوامر الى دارة تحكم بمحرك سيارة
عامر بوشي_ محمد ايمن نعال,2019_2020,تعلم اللغة الانكليزية,تسهيل تعلم اللغة الانكليزية من خلال الاستعانة بالتكنولوجية الحديثة حيث ان مشروع عبارة عن تطبيق Apk يعمل على اجهزة موبايل التي تعمل بنظام اندرويد
محمود رحال_  زكريا مهروسة,2019_2020,تصميم وتنفيذ روبوت اطفاء الآلي,تصميم وتنفيذ نظام الكتروني لكشف وملاحقة حرائق في اماكن يصعب الوصول اليها  فهو يهدف لتوفير وسائل الحماية من خلال اخماد الحرائق وتلبية الاحتياجات مطلوبة عن طريق تركيب عدد من الحساسات والادوات على اعتبار ان روبوت قابل للتعديل وتطوير 
محمود رحال _ عامر بوشي,2019_2020,تعرف على الوجوه,بناء تطبيقين يعتمدان على خوارزميات التعرف على الوجوه و نظام أمني للعثور على المطلوبين حيث يعمل المشروع على تسهيل الاجراءات الروتينية مثل تفقد والبحث عن شخص ما
محمود رحال_ عثمان اسماعيل,2019_2020,تصميم نظام لبيع الادوية في مستودع طبي,يعمل على تخديم المراكز الطبية وتزويدهم بالأدوية اللازمة بشكل آلي والغاء العمل اليدوي 
محمود رحال_عثمان اسماعيل,2019_2020,نظام الالكتروني لترجمة لغة الصم,تصميم نظام برمجي باستخدام ماتلاب وخوارزميات معالجة الصورة الرقمية ليقوم بترجمة الحروف والكلمات العبر عنها بلغة الاشارة لتسهيل عملية ايصال المعلومة من قبل الاشخاص المصابين بالصم الى الاشخاص السليمين 
عامر بوشي_ محمد ايمن نعال,2019_2020,دليل العقارات باستخدام تقنية GPS,يهدف المشروع الى تسهيل التعامل بين اصحاب المكاتب العقارية وزبائن فالمشروع يقوم بتسهيل عملية البحث عن عقار حيث يحوي على واجهه تفاعلية لتحديد متطلبات الباحث من نوع العقار ومجال السعر المطلوب والمنطقة المراد بحث فيها
عامر بوشي _ محمد ايمن نعال,2019_2020,تطبيق اندرويد لحجز تذاكر في شركة طيران,انشاء تطبيق لحجز تذاكر الذي يتيح للمستخدمين الحجز للرحلات وايضا الحجز في الفنادق وذلك حسب المعاير التي يحددها الزبون كما يتيح استعراض الوجهات السياحية الأكثر شهرة ورحلات التي تقدمها المكاتب السياحية كما يتيح للمكاتب اضافت رحلاتها واستقبال طلبات الحجوزات الطيران وفنادق ورد عليها
عامر بوشي,2019_2020,البطاقة الذكية لتوزيع مادة المازوت,ايجاد وسيلة فعالة للتواصل بين الزبون والمحطة حيث يستطيع اي زبون ان يطلب مادة المازوت من محطة قريبة منه وتوصيلها له بأسرع وقت ويستطيع صاحب المحطة ان يستخدم تطبيق لإستقبال طلبات العملاء لمحطته وتخديمهما ومن اجل ذلك فكرة البرنامج ABILI  الذي يعمل على محاكاة العملية سابقة بجميع نواحيها 
عامر بوشي_ محمد ايمن نعال,2019_2020,توزيع طلبات أدوية على الصيدلية,"يتألف مشروع من ثلاث تطبيقات تطبيق مخصص للصيدليات ومحلات البيع مستحضرات التجميل والمولات حيث يستطيع المستخدمون استعراض منتجات حسب نوع محل , تطبيق ثاني هو خاص بل مستودع حيث يتيح له رؤية الطلبات القادمة من مستخدمين وادارتها وارسال الرسائل للمستخدمين واستقبال رسائل منهم , التطبيق الثالث هو مخصص للسائق الذس سيقوم بإيصال الطلبية من مستودع للصيدلية حيث يتيح تطبيق عرض موقع المحل المطلوب"
عامر بوشي_محمد ايمن نعال,2019_2020,ادارة الموارد البشرية,هي تنمية قدرات العاملين وحسين ادائهم ورفع كفائتهم العملية وفنية وايجاد الوسائل المناسبة لرفع معنوياتهم وترغيبهم في العمل والاستمرارية فيه وحثهم على المشاركة لتحقيق اهداف المؤسسة يدخل في هذا كله توفير المزايا والحوافز المادية ومعنوية لاشباع رغباتهم الفردية والجماعية
محمود رحال -عثمان إسماعيل,2020-2021,مراقبة الطفل الرضيع اليا,مساعدة الأم ععى مراقبة طفلها ومراقبة الحالة الصحية للغرفة كدرجة الحرارة والرطوبة بالإضافة الى تزويد النظام بكاميرا للمراقبة عن بعد
محمود رحال -عثمان إسماعيل,2020-2021,تصميم وتنفيذ حاقن الي باستخدام تطبيقAndroid,تصميم جهاز يقوم بحقن كميات محددة من الدواء بالإضافة الى قياس اكسجة الدم ومراقبة نبضات القلب
محمود رحال -عثمان إسماعيل,2020-2021,منظومة مراقبة وتحكم باستخدام الحوسبة السحابية,انشاء منظومة مراقبة وتحكم بالتجهيزات الكهربائية في أي منشاة والهدف تطوير المنظومة بحيث تقوم بربط التجهيزات  الموجودة في أي منشاة بشبكة الانترنت والتحكم بها وادارتها عن بعد
محمود رحال -أحمد بليد,2020-2021,تطبيق سهولة الوصول لتتبع منظومة النقل الداخلي,استخدام بيئة الاندرويد لمحاكاة عمل منظومة باصات النقل الداخلي وذلك من خلال انشاء 3تطبيقات :وهي تطبيق الزبون وتطبيق السائق وتطبيق الموزع
محمود رحال -عثمان إسماعيل,2020-2021,تحكم ومراقبة بيت بلاستيك,التحكم المنظومة بشكل لاسلكي باستخدام  شريحة Arduino-Unoويتم التحكم بعمل المنظومة من خلال أوامر يتم ارسالها مباشرة من الواجهة المسؤولة ثم يتم استقبالها من خلال البلوتوث وتم تثبيت موبايل مزود بكاميرا من اجل المراقبة ومن ثم بثها عبر تطبيق Android
محمود رحال -عثمان إسماعيل,2020-2021,The eye,تطبيق اندرويد يهدف الى مساعدة ضعيفي البصر لرؤية الأشياء المحيطة بهم من حيث التعرف على الكائنات ونطق ما هو الكائن المستكشف
محمود رحال,2020-2021,تحليل وتصميم نظام اتمتة الديوان في مؤسسة المياه,إيجاد حلول مناسبة للأمور الروتينية:تحديد المعطيات وتوصيفها كأرشفة المستندات المتعلقة بالموظفين والوصول الى البيانات المؤرشفة بطريقة سلسة وتصميم واجهة مستخدم بسيطة للتعامل مع البرنامج مع وجود رسائل تنبيه وتأكيد ومساعدة
محمود رحال,2020-2021,مشروع أتمتة الديوان,أتمتة قسم الديوان في مديرية المعاهد التابعة لجامعة حلب  حيث تم الاعتماد على تطبيق الية العمل بالملفات الالكترونية عوضا عن الملفات الورقية المعرضة للتلف والضياع مما يسهل حفظها وسهولة استرجاعها
محمود رحال,2020-2021,أتمتة قسم المحاسبة في مديرية المعاهد,البرنامج يضم الواجهات التالية:موظفون وضرائب وخيارات والدوام والهدف تحسين  الأداء وزيادة السرعة وزيادة الانتاجية
محمود رحال -أحمد بليد-زكريا مهروسة,2020-2021,أتمتة الموارد البشرية في مديرية المعاهد,يهدف نظام أتمتة الموارد البشرية في مديرية المعاهد في مدينة حلب إلى تخديم موظفي المديرية في أتمتة عملهم في نظام الموارد البشرية من أدخال بيانات الموظفين أو استبدالها أو حفظ كل ما يخص الموظف ضمن ملفه الخاص
عامر بوشي -حازم عيسى,2020-2021,تطبيق أندرويد لأتمتة وكالة إعلانات,اهداف المشروع : .1 نشر ثقافة التسويق في المجتمعات العربية. .2 تسهيل تقديم خدمات التسويق واالاعلان ويوجد تطبيق للإدارة وتطبيق للزبون.
عامر بوشي -حازم عيسى,2020-2021,بناء نظام خبير في إدارة الموارد البشرية من حيث تقييم كفاءة الموظفين, مميزات النظام الخبير:سهلة االستخدام ألي مستخدم عادي أو مط ّور ووضوح مجال التطبيق والتعلم من الخبراء بطريقة مباشرة وغير مباشرةوتعليم غير المتخصصين واالستجابة لألسئلة البسيطة وكذلك المعقدة في حدود التطبيق وتوفير مستويات عالية من الخبرةفي حال عدم توفر خبير.
عامر بوشي -حازم عيسى,2020-2021,تطبيق أندرويد يقدم خدمات الكهرباء,"للكهرباء فوائد كثيرة جدا لا تُحصى ولا تُعّد, حيث توفر الوقت والجهد على الأشخاص وتُسهّل عل أعمال حياتهم اليوميةعلى الرغم من فوائد الكهرباء التي لا تعد ولا
تحصى إال أن لها مخاطر"
عامر بوشي ,2020-2021,"تطبيق خدمي لتلبية الحالات الاسعافية
باستخدام الاندرويد",شركة خاصة لسيارات الإسعاف بالإضافة لتطبيق أندرويد لتلبية الحالات الاسعافية بسبب الانتشار الكبير والسريع لنظام الأندرويد
حازم عيسى,2020-2021,تصميم وتنفيذ cncثلاثية الأبعاد," أن كلمة CNC ىي اختصار لػ Control Numerical Computerized و بشكل عاام تعني التحكـ الرقمي باستخداام
الحاسب وبشكل خاص تعني التحكـ الرقمي باالات المبرمجة أو قيادة آالات التشغيل باستخداام الحاسب وذلك باستخداـم
لغة برمجة خاصة
"
محمود رحال -أحمد بليد,2020-2021,تصميم وتنفيذ منظومة مراقبة وتحكم بسيارة,"الهدف من المشروع هو بناء سيارة يتم التحكم بها بأكثر من طريقة وبمجالين(عن قرب, عن بعد) ومراقبة الطريق أثناء حركتها من خلال بث مباشر عبر كاميرا مثبتة بها ومراقبة مؤشراتها الحيوية (سرعة , زيت , حرارة , مياه , وقود , اهتزازات على المحاور(Z,Y,X ) )وتحديد موقعها ( احداثيات الطول والعرض)."
,,,
عامر بوشي,2020_2021,اتمتة مول تسوق,سماح للزبون بالتصفح وطلب منتجات عبر الانترنيت الى بناء وسيلة الترونية تسهل التواصل بين زبون ومحل وذلك باستثمار جهاز موبايل الحاص بل زبون للتواصل عن بعد وبشكل الكتروني مع مركز تسوق والذي يكون لديه تطبيق مخدم ينتظر طلب زبون ويتجاوب مع طلب 
محمود رحال_ عثمان اسماعيل,2020_2021,تصميم ساعة تشابهية باستخدام الاردوينو,الاردينو هو عبارة عن لوحة الكترونية مفتوحة مصدر تتكون من مايكرو كنترولر قابل للبرمجة عن طريق برنامج arduino IDE وهي مصممة لجعل عملية استخدام الكترونات تفاعلية في مشاريع متعددة التخصصات
عثمان اسماعيل,2020_2021,كشف العملة المزيفة باستخدام تقنيات معالجة صورة,يضل تزييف العملات الورقية هاجسا يؤرق العديد من مؤسسات والشركات العامة لتأثيرها  السلبي على الاقتصاد ولصعوبة اكتشافها حيث تخضع جميع مراحل الانتاج عمولات النقد الورقية لاحدث طرق التكنولوجية ولعمليات تأمينية متطورة 
ديمة مفتي الشوافعة,2020_2021,تتبع التلاقي المكاني امخالطي مرضى الكورونا باستخدام تقنية GPS,يهدف هذا المشروع الى استخدام تكنولوجيا وكريسها في خدمة البشرية في ضلهذه الفترة الحرجة على كافة البشر وذلك من خلال تبليغ الاشخاص مستخدمي التطبيق باحتمالية اصابتهم بالوباء جراء مخالطة سابقة لشخص مسحته ايجابية ليقوم بحجز نفسه في منزل او اي مركز عزل صحي واستخدام اجراءات الاحترازية
 حازم عيسى _احمد بليد_ عامر بوشي,2020_2021,اتمتة القاعات الامتحانية باستخدام الخوارزمية الجينية,تحويل عملية توزيع الطلاب والمراقبين على القاعات الامتحانية من عملية يدوية وعشوائية بحتة تتطلب الكثير من جهد ووالوقت الى نظام الكتروني يمكن التعامل معه بسهولة ويسر وذلك من خلال وجود نظام الكتروني متكامل في كافة مجالات المرتبطة بعمليات التوزيع للطلاب ورز مراقبين
عامر بوشي _ جهاد ططري,2020_2021,متجر الالبسة الذكي,يهدف الى توفير جهد الذهني للعميل عندما يقع في حيرة من امره في اختيار الملابس التي تناسبه وهذا مايقع فيه اغلب العملاء الذين يرغبون بشراء ملابس ولايستقرون على موديل الا بعد مضي ساعات طويلة من تصفح ومشاهدة كثير من ملابس
